Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,229,0,0,0,0
Somewhat agree,0,475,0,0,0
No opinion,0,0,147,0,0
Somewhat disagree,0,0,0,62,0
Strongly disagree,0,0,0,0,20
