Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,108,67,27,21,5
Somewhat agree,90,156,110,87,31
No opinion,7,30,47,47,16
Somewhat disagree,3,9,9,13,28
Strongly disagree,2,2,1,1,14
