Option,Heterosexual,Gay,Bisexual,Other
Strongly agree,196,10,12,9
Somewhat agree,396,20,40,17
No opinion,112,15,11,7
Somewhat disagree,41,8,7,5
Strongly disagree,10,4,3,3
