Option,Very informed,Somewhat informed,Somewhat uninformed,Very uninformed
Strongly agree,60,142,24,3
Somewhat agree,107,308,51,9
No opinion,20,99,20,8
Somewhat disagree,20,34,5,3
Strongly disagree,10,7,2,1
