Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,9,7,5,7,8
Somewhat agree,11,8,8,12,18
No opinion,72,114,84,63,27
Somewhat disagree,21,49,36,44,12
Strongly disagree,97,84,59,42,26
