Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,24,5,3,2,2
Somewhat agree,33,13,1,5,4
No opinion,176,99,54,22,10
Somewhat disagree,84,46,16,14,2
Strongly disagree,137,81,29,37,23
