Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,16,9,6,2,3
Somewhat agree,29,12,10,4,2
No opinion,96,115,81,47,20
Somewhat disagree,53,46,31,23,10
Strongly disagree,79,85,56,48,40
