Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Heterosexual,196,396,112,41,10
Gay,10,20,15,8,4
Bisexual,12,40,11,7,3
Other,9,17,7,5,3
