Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,49,0,11,12,6
Somewhat approve,197,15,63,52,24
No opinion,172,15,57,50,25
Somewhat disapprove,74,8,34,30,17
Strongly disapprove,13,1,1,3,3
