Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly approve,19,26,13,7,13
Somewhat approve,101,98,86,47,21
No opinion,74,99,62,61,24
Somewhat disapprove,67,43,23,12,16
Strongly disapprove,14,3,2,0,2
