Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly approve,5,4,21,9,39
Somewhat approve,8,13,122,64,143
No opinion,14,13,162,53,75
Somewhat disapprove,4,24,50,36,45
Strongly disapprove,5,3,6,1,5
