Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly approve,40,34,3,1,0
Somewhat approve,90,203,40,16,3
No opinion,70,165,71,11,2
Somewhat disapprove,25,71,30,28,8
Strongly disapprove,4,1,3,6,7
