Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly approve,40,18,12,4,4
Somewhat approve,87,109,68,67,22
No opinion,51,109,84,58,16
Somewhat disapprove,31,29,28,40,34
Strongly disapprove,2,0,1,0,18
