Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,24,33,176,84,137
Somewhat agree,5,13,99,46,81
No opinion,3,1,54,16,29
Somewhat disagree,2,5,22,14,37
Strongly disagree,2,4,10,2,23
