Option,Social sciences (not incl. BEO or econ),Not Social sciences (not incl. BEO or econ)
More than once a week,5,25
Once a week,13,64
Once or twice a month,61,226
Once or twice a semester,73,280
Once a year,17,91
Never,15,59
