Option,Very informed,Somewhat informed,Somewhat uninformed,Very uninformed
Strongly agree,60,118,28,5
Somewhat agree,47,184,27,7
No opinion,32,130,27,5
Somewhat disagree,43,107,14,5
Strongly disagree,35,51,5,3
