Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,108,90,7,3,2
Somewhat agree,67,156,30,9,2
No opinion,27,110,47,9,1
Somewhat disagree,21,87,47,13,1
Strongly disagree,5,31,16,28,14
