Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly agree,120,5,33,30,22
Somewhat agree,151,12,42,49,10
No opinion,101,7,31,29,25
Somewhat disagree,85,10,41,27,6
Strongly disagree,47,6,19,10,12
