Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,9,11,72,21,97
Somewhat agree,7,8,114,49,84
No opinion,5,8,84,36,59
Somewhat disagree,7,12,63,44,42
Strongly disagree,8,18,27,12,26
