Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,211,0,0,0,0
Somewhat agree,0,265,0,0,0
No opinion,0,0,194,0,0
Somewhat disagree,0,0,0,169,0
Strongly disagree,0,0,0,0,94
