Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
None,134,248,79,31,11
Just loans,6,20,8,5,0
Grants and loans,40,85,22,16,3
"Grants, covering some costs",33,84,22,6,2
"Grants, covering all costs",16,36,15,4,4
