Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
None,124,147,116,78,39
Just loans,13,13,6,4,4
Grants and loans,61,39,31,17,17
"Grants, covering some costs",47,44,25,17,14
"Grants, covering all costs",30,25,7,11,2
