Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
None,219,146,62,46,28
Just loans,23,10,4,3,0
Grants and loans,87,40,15,16,8
"Grants, covering some costs",82,33,14,12,6
"Grants, covering all costs",48,15,8,4,0
