Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,56,133,45,30,12
Somewhat agree,65,151,37,12,3
No opinion,40,98,30,12,4
Somewhat disagree,40,56,25,5,1
Strongly disagree,28,35,10,3,0
