Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly agree,124,13,61,47,30
Somewhat agree,147,13,39,44,25
No opinion,116,6,31,25,7
Somewhat disagree,78,4,17,17,11
Strongly disagree,39,4,17,14,2
