Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Heterosexual,334,210,99,71,41
Gay,34,15,2,5,1
Bisexual,57,12,1,3,0
Other,29,7,2,2,0
