Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Heterosexual,197,226,159,107,67
Gay,24,11,8,8,6
Bisexual,38,16,12,5,2
Other,15,14,7,4,1
