Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Heterosexual,27,36,307,135,243
Gay,1,11,13,5,27
Bisexual,4,7,26,17,19
Other,4,3,13,4,17
