Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Heterosexual,194,227,157,120,57
Gay,7,12,11,17,10
Bisexual,7,15,17,19,15
Other,3,6,8,13,11
