Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,40,87,51,31,2
Somewhat agree,18,109,109,29,0
No opinion,12,68,84,28,1
Somewhat disagree,4,67,58,40,0
Strongly disagree,4,22,16,34,18
