Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,70,43,30,37,30
Somewhat agree,121,80,30,27,7
No opinion,90,66,27,9,2
Somewhat disagree,108,41,12,4,3
Strongly disagree,71,14,5,3,0
