Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,39,49,42,40,41
Somewhat agree,63,87,56,39,20
No opinion,53,69,43,21,6
Somewhat disagree,69,45,29,21,5
Strongly disagree,52,19,13,6,4
