Option,Heterosexual,Gay,Bisexual,Other
Strongly agree,194,7,7,3
Somewhat agree,227,12,15,6
No opinion,157,11,17,8
Somewhat disagree,120,17,19,13
Strongly disagree,57,10,15,11
