Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
None,21,23,179,82,194
Just loans,0,3,17,9,11
Grants and loans,7,17,54,30,56
"Grants, covering some costs",4,9,79,28,26
"Grants, covering all costs",4,5,31,13,20
