Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
None,120,151,101,85,47
Just loans,5,12,7,10,6
Grants and loans,33,42,31,41,19
"Grants, covering some costs",30,49,29,27,10
"Grants, covering all costs",22,10,25,6,12
