Option,Very informed,Somewhat informed,Somewhat uninformed,Very uninformed
None,110,334,47,14
Just loans,8,24,7,1
Grants and loans,38,100,24,4
"Grants, covering some costs",41,85,17,4
"Grants, covering all costs",20,46,7,2
