Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
None,49,197,172,74,13
Just loans,0,15,15,8,1
Grants and loans,11,63,57,34,1
"Grants, covering some costs",12,52,50,30,3
"Grants, covering all costs",6,24,25,17,3
