Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,78,0,0,0,0
Somewhat approve,0,353,0,0,0
No opinion,0,0,320,0,0
Somewhat disapprove,0,0,0,163,0
Strongly disapprove,0,0,0,0,21
