Option,Very informed,Somewhat informed,Somewhat uninformed,Very uninformed
Strongly approve,25,48,3,2
Somewhat approve,99,223,28,3
No opinion,37,211,56,16
Somewhat disapprove,43,102,14,4
Strongly disapprove,12,8,1,0
