Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly approve,31,17,14,6,10
Somewhat approve,176,102,29,31,13
No opinion,131,97,52,33,7
Somewhat disapprove,104,27,8,11,11
Strongly disapprove,17,2,1,0,1
