Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,16,29,96,53,79
Somewhat agree,9,12,115,46,85
No opinion,6,10,81,31,56
Somewhat disagree,2,4,47,23,48
Strongly disagree,3,2,20,10,40
