Option,Very informed,Somewhat informed,Somewhat uninformed,Very uninformed
Strongly agree,90,163,16,7
Somewhat agree,46,187,28,8
No opinion,45,113,24,4
Somewhat disagree,23,84,19,1
Strongly disagree,13,44,14,5
