Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,276,0,0,0,0
Somewhat agree,0,269,0,0,0
No opinion,0,0,186,0,0
Somewhat disagree,0,0,0,127,0
Strongly disagree,0,0,0,0,76
