Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,207,45,13,7,3
Somewhat agree,142,79,31,12,5
No opinion,61,63,34,19,7
Somewhat disagree,37,43,16,25,5
Strongly disagree,13,13,10,18,22
