Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,19,101,74,67,14
Somewhat agree,26,98,99,43,3
No opinion,13,86,62,23,2
Somewhat disagree,7,47,61,12,0
Strongly disagree,13,21,24,16,2
