Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Very informed,25,99,37,43,12
Somewhat informed,48,223,211,102,8
Somewhat uninformed,3,28,56,14,1
Very uninformed,2,3,16,4,0
