Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Very informed,60,107,20,20,10
Somewhat informed,142,308,99,34,7
Somewhat uninformed,24,51,20,5,2
Very uninformed,3,9,8,3,1
