Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Very informed,60,47,32,43,35
Somewhat informed,118,184,130,107,51
Somewhat uninformed,28,27,27,14,5
Very uninformed,5,7,5,5,3
