Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Very informed,110,8,38,41,20
Somewhat informed,334,24,100,85,46
Somewhat uninformed,47,7,24,17,7
Very uninformed,14,1,4,4,2
