Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,11,11,5,5,4
Somewhat agree,12,20,10,10,4
No opinion,68,194,69,22,7
Somewhat disagree,38,91,23,10,1
Strongly disagree,98,154,38,15,3
