Option,Heterosexual,Gay,Bisexual,Other
Strongly agree,27,1,4,4
Somewhat agree,36,11,7,3
No opinion,307,13,26,13
Somewhat disagree,135,5,17,4
Strongly disagree,243,27,19,17
