Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,5,8,14,4,5
Somewhat agree,4,13,13,24,3
No opinion,21,122,162,50,6
Somewhat disagree,9,64,53,36,1
Strongly disagree,39,143,75,45,5
