Option,Very informed,Somewhat informed,Somewhat uninformed,Very uninformed
Strongly agree,13,15,2,6
Somewhat agree,19,34,4,0
No opinion,63,239,49,10
Somewhat disagree,32,110,20,1
Strongly disagree,89,185,27,7
