Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly agree,21,0,7,4,4
Somewhat agree,23,3,17,9,5
No opinion,179,17,54,79,31
Somewhat disagree,82,9,30,28,13
Strongly disagree,194,11,56,26,20
