Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,86,64,29,31,18
Somewhat agree,237,130,54,38,16
No opinion,77,39,18,7,5
Somewhat disagree,44,9,3,3,2
Strongly disagree,15,2,0,2,1
