Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly agree,134,6,40,33,16
Somewhat agree,248,20,85,84,36
No opinion,79,8,22,22,15
Somewhat disagree,31,5,16,6,4
Strongly disagree,11,0,3,2,4
