Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,11,12,68,38,98
Somewhat agree,11,20,194,91,154
No opinion,5,10,69,23,38
Somewhat disagree,5,10,22,10,15
Strongly disagree,4,4,7,1,3
