Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,56,65,40,40,28
Somewhat agree,133,151,98,56,35
No opinion,45,37,30,25,10
Somewhat disagree,30,12,12,5,3
Strongly disagree,12,3,4,1,0
