Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,40,90,70,25,4
Somewhat agree,34,203,165,71,1
No opinion,3,40,71,30,3
Somewhat disagree,1,16,11,28,6
Strongly disagree,0,3,2,8,7
