Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Very informed,90,46,45,23,13
Somewhat informed,163,187,113,84,44
Somewhat uninformed,16,28,24,19,14
Very uninformed,7,8,4,1,5
