Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Very informed,128,49,15,16,8
Somewhat informed,280,168,66,52,23
Somewhat uninformed,41,22,19,13,7
Very uninformed,11,6,4,0,4
