Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Very informed,13,19,63,32,89
Somewhat informed,15,34,239,110,185
Somewhat uninformed,2,4,49,20,27
Very uninformed,6,0,10,1,7
