Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,86,237,77,44,15
Somewhat agree,64,130,39,9,2
No opinion,29,54,18,3,0
Somewhat disagree,31,38,7,3,2
Strongly disagree,18,16,5,2,1
