Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,31,176,131,104,17
Somewhat agree,17,102,97,27,2
No opinion,14,29,52,8,1
Somewhat disagree,6,31,33,11,0
Strongly disagree,10,13,7,11,1
